"specie";"indiv";"stage";"comp";"lettre_bulk";"ind_bulk";"col_specie";"col_stage";"col_comp";"type";"comp2";"pch_comp";"pch_specie";"col_type";"pch_type";"spe_comp";"comp_stage";"pch_stage";"spe_stage";"spe_ind";"time";"col_spe_stage"
"Pa_4_S1_E";"Pa";"4";"S1";"E";NA;NA;"orange";"green";"purple";"domesticated";"E";"18";"15";"red";"19";"Pa_E";"E_S1";"17";"Pa_S1";"Pa_4";16;"orange"
"Pa_4_S1_R";"Pa";"4";"S1";"R";NA;NA;"orange";"green";"green";"domesticated";"R";"15";"15";"red";"19";"Pa_R";"R_S1";"17";"Pa_S1";"Pa_4";16;"orange"
"Pa_4_S1_Rp_2";"Pa";"4";"S1";"Rp";"2";NA;"orange";"green";"blue";"domesticated";"Rp";"17";"15";"red";"19";"Pa_Rp";"Rp_S1";"17";"Pa_S1";"Pa_4";16;"orange"
"Pa_6_S3_E";"Pa";"6";"S3";"E";NA;NA;"orange";"red";"purple";"domesticated";"E";"18";"15";"red";"19";"Pa_E";"E_S3";"19";"Pa_S3";"Pa_6";36;"orange"
"Pa_6_S3_R";"Pa";"6";"S3";"R";NA;NA;"orange";"red";"green";"domesticated";"R";"15";"15";"red";"19";"Pa_R";"R_S3";"19";"Pa_S3";"Pa_6";36;"orange"
"Pa_6_S3_Rp";"Pa";"6";"S3";"Rp";NA;NA;"orange";"red";"blue";"domesticated";"Rp";"17";"15";"red";"19";"Pa_Rp";"Rp_S3";"19";"Pa_S3";"Pa_6";36;"orange"
"Pa_7_S3_E";"Pa";"7";"S3";"E";NA;NA;"orange";"red";"purple";"domesticated";"E";"18";"15";"red";"19";"Pa_E";"E_S3";"19";"Pa_S3";"Pa_7";36;"orange"
"Pa_7_S3_R";"Pa";"7";"S3";"R";NA;NA;"orange";"red";"green";"domesticated";"R";"15";"15";"red";"19";"Pa_R";"R_S3";"19";"Pa_S3";"Pa_7";36;"orange"
"Pa_7_S3_Rp_1";"Pa";"7";"S3";"Rp";"1";NA;"orange";"red";"blue";"domesticated";"Rp";"17";"15";"red";"19";"Pa_Rp";"Rp_S3";"19";"Pa_S3";"Pa_7";36;"orange"
"Pa_8_S3_E";"Pa";"8";"S3";"E";NA;NA;"orange";"red";"purple";"domesticated";"E";"18";"15";"red";"19";"Pa_E";"E_S3";"19";"Pa_S3";"Pa_8";36;"orange"
"Pa_8_S3_Rp";"Pa";"8";"S3";"Rp";NA;NA;"orange";"red";"blue";"domesticated";"Rp";"17";"15";"red";"19";"Pa_Rp";"Rp_S3";"19";"Pa_S3";"Pa_8";36;"orange"
"Pa_9_S2_E";"Pa";"9";"S2";"E";NA;NA;"orange";"blue";"purple";"domesticated";"E";"18";"15";"red";"19";"Pa_E";"E_S2";"18";"Pa_S2";"Pa_9";31;"orange"
"Pa_9_S2_R";"Pa";"9";"S2";"R";NA;NA;"orange";"blue";"green";"domesticated";"R";"15";"15";"red";"19";"Pa_R";"R_S2";"18";"Pa_S2";"Pa_9";31;"orange"
"Pa_9_S2_Rp";"Pa";"9";"S2";"Rp";NA;NA;"orange";"blue";"blue";"domesticated";"Rp";"17";"15";"red";"19";"Pa_Rp";"Rp_S2";"18";"Pa_S2";"Pa_9";31;"orange"
